dataset,model,variant,K_added_dim,scorer,test_acc_mean,test_acc_std,macro_f1_mean,macro_f1_std,low_degree_acc_mean,n_seeds
cora,graphsage,raw,,,0.8008000000000001,0.008304215796810685,0.7929472000000001,0.010848613024714245,0.7535000000000001,5
cora,mlp,raw,,,0.5716,0.007227724399837067,0.5579906,0.004377436034941006,0.5685,5
cora,gcn,raw,,,0.8076000000000001,0.00634350061086144,0.8007566,0.0058921211324955165,0.748,5
cora,graphsage,fca_binary_nonzero,128,support,0.8010000000000002,0.006356099432828288,0.7957618,0.0076011613165357745,0.7525000000000001,5
cora,graphsage,svd_control,128,,0.8116,0.0036110940170535214,0.8062267999999999,0.003550431939919458,0.7605000000000001,5
citeseer,graphsage,raw,,,0.6832,0.007304792947099824,0.6425972,0.007644162593770501,0.6121372031662269,5
citeseer,mlp,raw,,,0.548,0.0026076809620810618,0.520361,0.004760773886670097,0.49182058047493393,5
citeseer,graphsage,fca_binary_nonzero,128,support,0.6923999999999999,0.005238320341483522,0.6584907999999999,0.007256382332815711,0.6221635883905013,5
citeseer,graphsage,svd_control,128,,0.6923999999999999,0.007227724399837015,0.6568949999999999,0.005967998223860335,0.6158311345646437,5
pubmed,graphsage,raw,,,0.7658,0.005912698199637798,0.7612908,0.004649243654617371,0.7560669456066946,5
pubmed,mlp,raw,,,0.7256,0.008333066662399871,0.7252906,0.007363719076662263,0.7167364016736402,5
pubmed,graphsage,fca_binary_nonzero,128,support,0.6784000000000001,0.005678027826631361,0.6910828,0.004417913643338902,0.6506276150627615,5
pubmed,graphsage,svd_control,128,,0.7615999999999999,0.0032000000000000028,0.7560498,0.003080848091029472,0.7510460251046025,5
