dataset,mode,params,scorer,K,richer_acc_mean,richer_acc_std,binary_acc_mean,binary_acc_std,svd_acc_mean,svd_acc_std,raw_acc_mean,raw_acc_std,delta_vs_binary,delta_vs_svd,verdict
cora,quantile_global,q=0.90,support,128,0.792,0.009121403400793112,0.8010000000000002,0.006356099432828288,0.8116,0.0036110940170535214,0.8008000000000001,0.008304215796810685,-0.009000000000000119,-0.01959999999999995,NO (worse)
cora,quantile_global,q=0.90,target_entropy,128,0.7928,0.00913016976841067,0.8144,0.00697423830966505,0.8116,0.0036110940170535214,0.8008000000000001,0.008304215796810685,-0.021600000000000064,-0.01880000000000004,NO (worse)
citeseer,quantile_global,q=0.90,support,128,0.7028,0.008772684879784531,0.6923999999999999,0.005238320341483522,0.6923999999999999,0.007227724399837015,0.6832,0.007304792947099824,0.010400000000000076,0.010400000000000076,SUCCESS (beats SVD & binary)
citeseer,quantile_global,q=0.90,target_entropy,128,0.696,0.013038404810405265,0.6956,0.0105943381105192,0.6923999999999999,0.007227724399837015,0.6832,0.007304792947099824,0.00039999999999995595,0.0036000000000000476,SUCCESS (beats SVD)
citeseer,quantile_global,q=0.90,support,256,0.7078,0.012921300244170451,0.687,0.013696714934611116,0.687,0.007321202087089215,0.6832,0.007304792947099824,0.02079999999999993,0.02079999999999993,SUCCESS (beats SVD & binary)
citeseer,quantile_global,q=0.90,target_entropy,256,0.7108,0.008518215775618749,,,0.687,0.007321202087089215,0.6832,0.007304792947099824,,0.023799999999999932,SUCCESS (beats SVD)
pubmed,quantile_global,q=0.75,support,128,0.7372,0.00798498591107086,0.6784000000000001,0.005678027826631361,0.7615999999999999,0.0032000000000000028,0.7658,0.005912698199637798,0.05879999999999985,-0.024399999999999977,"PARTIAL (beats binary, not SVD)"
pubmed,quantile_global,q=0.75,target_entropy,128,0.7336,0.004715930449020642,,,0.7615999999999999,0.0032000000000000028,0.7658,0.005912698199637798,,-0.027999999999999914,NO (worse)
pubmed,topk_per_node,topk=10,support,64,0.7427999999999999,0.0040199502484483595,0.6616000000000001,0.0030066592756745844,0.7630000000000001,0.0075630681604756216,0.7658,0.005912698199637798,0.08119999999999983,-0.020200000000000218,"PARTIAL (beats binary, not SVD)"
pubmed,topk_per_node,topk=10,target_entropy,64,0.7312,0.0036551333764994164,,,0.7630000000000001,0.0075630681604756216,0.7658,0.005912698199637798,,-0.03180000000000016,NO (worse)
pubmed,topk_per_node,topk=10,support,128,0.751,0.007797435475847178,0.6784000000000001,0.005678027826631361,0.7615999999999999,0.0032000000000000028,0.7658,0.005912698199637798,0.07259999999999989,-0.010599999999999943,"PARTIAL (beats binary, not SVD)"
pubmed,topk_per_node,topk=10,target_entropy,128,0.731,0.007071067811865481,,,0.7615999999999999,0.0032000000000000028,0.7658,0.005912698199637798,,-0.03059999999999996,NO (worse)
pubmed,topk_per_node,topk=10,support,256,0.7422000000000001,0.0014696938456699082,0.7396,0.01001199280862707,0.7613999999999999,0.004454211490264022,0.7658,0.005912698199637798,0.0026000000000000467,-0.019199999999999773,"PARTIAL (beats binary, not SVD)"
pubmed,topk_per_node,topk=10,target_entropy,256,0.7486,0.0038781438859330666,,,0.7613999999999999,0.004454211490264022,0.7658,0.005912698199637798,,-0.012799999999999812,NO (worse)
pubmed,graph_smoothed_topk,"alpha=0.5,topk=10",support,128,0.7394000000000001,0.008114185110040325,0.6784000000000001,0.005678027826631361,0.7615999999999999,0.0032000000000000028,0.7658,0.005912698199637798,0.06099999999999994,-0.022199999999999886,"PARTIAL (beats binary, not SVD)"
cora,graph_smoothed_topk,"alpha=0.5,topk=10",support,128,0.8078,0.005810335618533534,0.8010000000000002,0.006356099432828288,0.8116,0.0036110940170535214,0.8008000000000001,0.008304215796810685,0.006799999999999806,-0.0038000000000000256,"PARTIAL (beats binary, not SVD)"
