dataset,class,support,purity,lift,intent_size,extent_size,selection_score,attributes
citeseer,0,65,1.0,6.0,1,65,1.732051,f3077!=0
citeseer,0,64,1.0,6.0,1,64,1.732051,f1054!=0
citeseer,0,188,0.75,4.5,1,188,1.37231,f3322!=0
citeseer,0,143,0.666667,4.0,1,143,1.116748,f1038!=0
citeseer,0,82,0.666667,4.0,1,82,1.116748,f812!=0
citeseer,1,94,0.8,4.8,1,94,1.611579,f507!=0
citeseer,1,198,0.75,4.5,1,198,1.37231,f2686!=0
citeseer,1,197,0.75,4.5,1,197,1.37231,f579!=0
citeseer,1,188,0.75,4.5,1,188,1.940739,f1968!=0
citeseer,1,168,0.666667,4.0,1,168,1.116748,f1244!=0
citeseer,2,67,1.0,6.0,1,67,1.732051,f1157!=0
citeseer,2,86,0.75,4.5,1,86,1.37231,f1909!=0
citeseer,2,201,0.7,4.2,1,201,1.747147,f3257!=0
citeseer,2,158,0.666667,4.0,1,158,1.116748,f1048!=0
citeseer,2,108,0.666667,4.0,1,108,1.116748,f582!=0
citeseer,3,207,1.0,6.0,1,207,1.732051,f2868!=0
citeseer,3,96,1.0,6.0,1,96,2.0,f3327!=0
citeseer,3,89,1.0,6.0,1,89,1.732051,f619!=0
citeseer,3,169,0.833333,5.0,1,169,1.833534,f249!=0
citeseer,3,147,0.8,4.8,1,147,1.611579,f3030!=0
citeseer,4,55,1.0,6.0,1,55,1.732051,f3048!=0
citeseer,4,261,0.857143,5.142857,1,261,2.040165,f2185!=0
citeseer,4,139,0.75,4.5,1,139,1.37231,f2342!=0
citeseer,4,56,0.75,4.5,1,56,1.37231,f3223!=0
citeseer,4,670,0.692308,4.153846,1,670,2.243117,f65!=0
citeseer,5,81,1.0,6.0,1,81,1.732051,f1210!=0
citeseer,5,73,0.833333,5.0,1,73,1.833534,f236!=0
citeseer,5,75,0.8,4.8,1,75,1.611579,f2680!=0
citeseer,5,202,0.75,4.5,1,202,1.37231,f1620!=0
citeseer,5,124,0.75,4.5,1,124,1.37231,f462!=0
cora,0,62,0.666667,4.666667,1,62,1.357411,f1211!=0
cora,0,35,0.666667,4.666667,1,35,1.165491,f926!=0
cora,0,33,0.666667,4.666667,1,33,1.165491,f56!=0
cora,0,85,0.6,4.2,1,85,1.144101,f179!=0
cora,0,67,0.6,4.2,2,67,1.462702,f1174!=0;f1263!=0
cora,1,98,1.0,7.0,1,98,2.236068,f510!=0
cora,1,33,1.0,7.0,1,33,1.732051,f1!=0
cora,1,115,0.909091,6.363636,1,115,2.797401,f581!=0
cora,1,60,0.8,5.6,1,60,1.66105,f168!=0
cora,1,40,0.75,5.25,1,40,1.422034,f1317!=0
cora,2,95,1.0,7.0,1,95,2.0,f140!=0
cora,2,46,1.0,7.0,1,46,1.732051,f247!=0
cora,2,253,0.857143,6.0,1,253,2.762672,f495!=0
cora,2,171,0.846154,5.923077,2,171,2.612476,f495!=0;f507!=0
cora,2,123,0.75,5.25,1,123,1.422034,f61!=0
cora,3,62,1.0,7.0,1,62,1.732051,f877!=0
cora,3,126,0.75,5.25,1,126,1.422034,f615!=0
cora,3,98,0.666667,4.666667,1,98,1.165491,f810!=0
cora,3,58,0.666667,4.666667,1,58,1.165491,f1253!=0
cora,3,58,0.666667,4.666667,1,58,1.165491,f1351!=0
cora,4,56,1.0,7.0,1,56,2.0,f51!=0
cora,4,85,0.75,5.25,1,85,1.422034,f1175!=0
cora,4,56,0.75,5.25,1,56,1.422034,f456!=0
cora,4,28,0.75,5.25,1,28,1.422034,f287!=0
cora,4,79,0.666667,4.666667,1,79,1.165491,f971!=0
cora,5,104,1.0,7.0,1,104,2.828427,f750!=0
cora,5,37,1.0,7.0,1,37,1.732051,f537!=0
cora,5,166,0.9,6.3,1,166,2.633989,f758!=0
cora,5,165,0.8,5.6,1,165,2.123794,f4!=0
cora,5,80,0.75,5.25,1,80,1.422034,f1299!=0
cora,6,49,1.0,7.0,1,49,1.732051,f1387!=0
cora,6,40,1.0,7.0,1,40,2.236068,f485!=0
cora,6,33,1.0,7.0,1,33,1.732051,f353!=0
cora,6,39,0.833333,5.833333,1,39,1.882328,f1155!=0
cora,6,38,0.8,5.6,1,38,1.66105,f416!=0
pubmed,0,2165,1.0,3.0,1,2165,2165.0,f179!=0
pubmed,0,1939,1.0,3.0,1,1939,1939.0,f313!=0
pubmed,0,1582,1.0,3.0,1,1582,1582.0,f184!=0
pubmed,0,1480,1.0,3.0,1,1480,1480.0,f333!=0
pubmed,0,1333,1.0,3.0,1,1333,1333.0,f99!=0
pubmed,1,2084,1.0,3.0,1,2084,2084.0,f186!=0
pubmed,1,2013,1.0,3.0,1,2013,2013.0,f362!=0
pubmed,1,1703,1.0,3.0,1,1703,1703.0,f190!=0
pubmed,1,1591,1.0,3.0,1,1591,1591.0,f239!=0
pubmed,1,1548,1.0,3.0,1,1548,1548.0,f85!=0
pubmed,2,2309,1.0,3.0,1,2309,2309.0,f133!=0
pubmed,2,2159,1.0,3.0,1,2159,2159.0,f115!=0
pubmed,2,1955,1.0,3.0,1,1955,1955.0,f379!=0
pubmed,2,1762,1.0,3.0,1,1762,1762.0,f399!=0
pubmed,2,1658,1.0,3.0,1,1658,1658.0,f449!=0
